player_name,month,trends_rel
Álvaro Carreras,2025-03,0.0133
Álvaro Carreras,2025-04,0.0139
Álvaro Carreras,2025-05,0.1334
Álvaro Carreras,2025-06,0.0712
Álvaro Carreras,2025-07,0.2224
Dani Carvajal,2024-07,0.0667
Dani Carvajal,2024-08,0.0723
Dani Carvajal,2024-09,0.089
Dani Carvajal,2024-10,0.3392
Dani Carvajal,2024-11,0.0389
Dani Carvajal,2024-12,0.0445
Dani Carvajal,2025-01,0.0445
Dani Carvajal,2025-02,0.0445
Dani Carvajal,2025-03,0.0489
Dani Carvajal,2025-04,0.0667
Dani Carvajal,2025-05,0.0667
Dani Carvajal,2025-06,0.0445
Dani Carvajal,2025-07,0.0556
Pau Cubarsí,2024-07,0.0445
Pau Cubarsí,2024-08,0.0611
Pau Cubarsí,2024-09,0.0311
Pau Cubarsí,2024-10,0.1
Pau Cubarsí,2024-11,0.1723
Pau Cubarsí,2024-12,0.04
Pau Cubarsí,2025-01,0.0723
Pau Cubarsí,2025-02,0.0667
Pau Cubarsí,2025-03,0.1023
Pau Cubarsí,2025-04,0.1112
Pau Cubarsí,2025-05,0.0945
Pau Cubarsí,2025-06,0.0489
Pau Cubarsí,2025-07,0.0445
Marc Cucurella,2024-07,0.089
Marc Cucurella,2024-08,0.1223
Marc Cucurella,2024-09,0.0534
Marc Cucurella,2024-10,0.05
Marc Cucurella,2024-11,0.0389
Marc Cucurella,2024-12,0.0623
Marc Cucurella,2025-01,0.0278
Marc Cucurella,2025-02,0.0278
Marc Cucurella,2025-03,0.0356
Marc Cucurella,2025-04,0.0222
Marc Cucurella,2025-05,0.0445
Marc Cucurella,2025-06,0.1512
Marc Cucurella,2025-07,0.2113
Matheus Cunha,2024-07,0.0111
Matheus Cunha,2024-08,0.0167
Matheus Cunha,2024-09,0.0133
Matheus Cunha,2024-10,0.0167
Matheus Cunha,2024-11,0.0278
Matheus Cunha,2024-12,0.1023
Matheus Cunha,2025-01,0.0612
Matheus Cunha,2025-02,0.0389
Matheus Cunha,2025-03,0.0578
Matheus Cunha,2025-04,0.1056
